,display_phone,distance,id,is_closed,name,phone,price,rating,review_count,transactions,address,longitude,latitude,categories,seperated_address,house_numbers,split_address,establishment,trimmed_name,clean_address
0,(210) 342-0011,4587.160656223971,9LCY2F98AV45IZA0Y4rXoQ,False,Azro,+12103420011,$$,4.5,217,[],2211 nw military hwy,-98.523454,29.534933,"['Afghan', 'Mediterranean', 'Halal']","['2211', 'nw', 'military', 'hwy']",2211,nw military hwy,Azro,azro,nw military hwy
1,,17253.000401688427,9gY5_pRJhqkzMokhQM3fcQ,False,Laziz,,,5.0,1,[],tinker ave,-98.628273,29.3737793,"['Afghan', 'Food Stands', 'Greek']","['tinker', 'ave']",tinker,ave,Laziz,laziz,ave
2,(210) 467-5102,6291.6985494178725,xoKRn7pXo6OZdDFrqma73g,False,African Village,+12104675102,,4.5,54,['delivery'],10918 wurzbach rd,-98.551459,29.540934,"['Ethiopian', 'African', 'Eritrean']","['10918', 'wurzbach', 'rd']",10918,wurzbach rd,African Village,afric village,wurzbach
3,(210) 474-6058,13820.55262400596,N2g3bqbQ_tXmwEr5XLOkXw,False,Kobams African Restaurant,+12104746058,$$,4.0,78,['pickup'],8753 grissom rd,-98.6563036353495,29.4805957233545,"['Caribbean', 'African', 'Seafood']","['8753', 'grissom', 'rd']",8753,grissom rd,Kobams African Restaurant,kobams afric restaurant,grissom
4,(210) 224-8484,8220.553657627619,A-2-cH0dGVDY7tEs_0BTEA,False,Boudro's On the River Walk,+12102248484,$$$,4.0,2363,['delivery'],421 e commerce st,-98.48839,29.42412,"['American (New)', 'Seafood']","['421', 'e', 'commerce', 'st']",421,e commerce st,Boudro's On the River Walk,boudros   river walk,e commerce
5,(210) 496-0828,8134.573517423651,_S3cq-DYrsSIpv3EI45ErA,False,The Magnolia Pancake Haus,+12104960828,$$,4.0,1889,['delivery'],606 embassy oaks,-98.488924,29.564154,"['Breakfast & Brunch', 'American (New)']","['606', 'embassy', 'oaks']",606,embassy oaks,The Magnolia Pancake Haus, magnoli pancake haus,embassy oaks
6,(210) 314-3929,6722.3943580179575,CPpcFOhRHZwRxU6LbeJNrQ,False,Cured,+12103143929,$$,4.5,1017,['delivery'],306 pearl pkwy,-98.479888,29.44198,"['Cocktail Bars', 'American (New)']","['306', 'pearl', 'pkwy']",306,pearl pkwy,Cured,cured,pearl pkwy
7,(210) 224-2900,8231.78293115204,IXF7ceaOgU5juDkMdQ2N6g,False,Zinc Bistro & Wine Bar,+12102242900,$$,4.0,1475,['delivery'],207 n presa st,-98.48927,29.42365,"['Wine Bars', 'American (New)', 'Burgers']","['207', 'n', 'presa', 'st']",207,n presa st,Zinc Bistro & Wine Bar,zinc bistro  wine bar,n presa
8,(210) 265-3763,4486.283457974526,NKyKURyCgz5zSIRQJjCgNQ,False,Sangria On the Burg,+12102653763,$$,4.5,976,"['delivery', 'restaurant_reservation']",5115 fredericksburg rd,-98.5597405,29.50168533,"['American (New)', 'Barbeque', 'Tacos']","['5115', 'fredericksburg', 'rd']",5115,fredericksburg rd,Sangria On the Burg,sangri   burg,fredericksburg
9,(210) 496-0828,8494.1163754653,ZlFxG9cdW4DkkygtwkkRPg,False,The Magnolia Pancake Haus,+12104960828,$$,4.0,1679,['delivery'],10333 huebner rd,-98.58484,29.54005,"['Breakfast & Brunch', 'American (New)']","['10333', 'huebner', 'rd']",10333,huebner rd,The Magnolia Pancake Haus, magnoli pancake haus,huebner
10,(210) 225-2547,9623.06633485972,pRp4lpOqcvDTWkCY1ShQDg,False,Bliss,+12102252547,$$$,4.5,553,['delivery'],926 s presa st,-98.48703,29.41118,['American (New)'],"['926', 's', 'presa', 'st']",926,s presa st,Bliss,bliss,s presa
11,(210) 236-8095,14449.813884542675,lHQUmNEMXFiHUfBWPZ7Odw,False,Whiskey Cake,+12102368095,$$,4.0,1380,[],15900 la cantera pkwy,-98.611468,29.593213,"['American (New)', 'Breakfast & Brunch']","['15900', 'la', 'cantera', 'pkwy']",15900,la cantera pkwy,Whiskey Cake,whiskey cake,la cantera pkwy
12,(210) 455-5701,6631.310328751167,mlrX_eT46F_WjEcNNDqg-g,False,Southerleigh Fine Food and Brewery,+12104555701,$$,4.0,1084,[],136 e grayson st,-98.480661821962,29.4425389496087,"['Breweries', 'American (New)', 'Bars']","['136', 'e', 'grayson', 'st']",136,e grayson st,Southerleigh Fine Food and Brewery,southerleigh fine food and brewery,e grayson
13,(210) 225-0722,8137.157164160428,n1QMj77k8tWEeqSe8cnRTA,False,Biga On The Banks,+12102250722,$$$,4.5,728,['delivery'],203 s saint marys st,-98.492,29.42369,"['American (New)', 'Venues & Event Spaces', 'Desserts']","['203', 's', 'saint', 'marys', 'st']",203,s saint marys st,Biga On The Banks,big   banks,saint marys
14,(210) 320-0819,5492.3288132338575,y0G19V0kCxK3XDE4PuEjKw,False,Tycoon Flats,+12103200819,$$,4.0,799,['delivery'],2926 n saint marys st,-98.48491,29.45228,"['Burgers', 'American (New)']","['2926', 'n', 'saint', 'marys', 'st']",2926,n saint marys st,Tycoon Flats,tyco flats,naint marys
15,(210) 616-0954,2758.8237756116373,jpkIekRcJwkheofnq4tyvw,False,Picnikins Patio Cafe,+12106160954,$$,4.5,405,['delivery'],6901 blanco rd,-98.50789,29.51892,"['American (New)', 'American (Traditional)']","['6901', 'blanco', 'rd']",6901,blanco rd,Picnikins Patio Cafe,picnikins patio cafe,blanco
16,(210) 828-9669,5501.003111445088,eglk84L_IwvD4KwPk0Rq3w,False,Cappy's Restaurant,+12108289669,$$,4.5,438,['delivery'],5011 broadway st,-98.4633888,29.4726367,"['American (New)', 'Breakfast & Brunch', 'Bars']","['5011', 'broadway', 'st']",5011,broadway st,Cappy's Restaurant,cappys restaurant,broadway
17,(210) 277-7047,9571.434425232646,oLdog5Vfrxo_E99A_zMypQ,False,Stella Public House,+12102777047,$$,4.0,665,"['delivery', 'pickup']",1414 s alamo st,-98.495517,29.409946,"['Pizza', 'American (New)', 'Tapas/Small Plates']","['1414', 's', 'alamo', 'st']",1414,s alamo st,Stella Public House,stell public house,s alamo
18,(210) 518-1063,8056.5565219330065,DCpLIlaGzsC8mG2077eANw,False,Las Canarias,+12105181063,$$,4.0,478,['delivery'],112 college st,-98.4899110856117,29.4251935550079,"['American (New)', 'Breakfast & Brunch', 'Buffets']","['112', 'college', 'st']",112,college st,Las Canarias, canarias,college
19,(210) 277-8612,9516.873013977325,_8CAyUIaJkgUqHtZATy-lQ,False,The Bread Box,+12102778612,$$,4.5,290,"['delivery', 'pickup']",555 w bitters rd,-98.499714738381,29.5790660823088,"['Bakeries', 'Sandwiches', 'American (New)']","['555', 'w', 'bitters', 'rd']",555,w bitters rd,The Bread Box, bread box,w bitters
20,(210) 448-8351,6583.825696088776,JS3gCbLH6Gkz_6lJR6AMQA,False,Supper,+12104488351,$$,4.0,445,['delivery'],132 e grayson st,-98.4810031048935,29.4428615387664,"['American (New)', 'Breakfast & Brunch']","['132', 'e', 'grayson', 'st']",132,e grayson st,Supper,supper,e grayson
21,(210) 248-9244,6611.926629847822,oVASyewXkfUUXb2k2nOaKw,False,Down on Grayson,+12102489244,$$,4.0,684,[],303 e grayson st,-98.4782447700663,29.4439930070745,"['American (New)', 'Beer Bar', 'Wine Bars']","['303', 'e', 'grayson', 'st']",303,e grayson st,Down on Grayson,down  grayson,e grayson
22,(210) 300-4728,4563.272003575844,uw5b_6gdZ6hYsCz75lwBXg,False,Outlaw Kitchens,+12103004728,$$,5.0,116,[],2919 n flores st,-98.5029868,29.4546217,"['American (New)', 'Cafes']","['2919', 'n', 'flores', 'st']",2919,n flores st,Outlaw Kitchens,outlaw kitchens,n flores
23,(210) 444-9547,3477.473761457342,npasNPLckc0XHKnScB4wmQ,False,MAX's Wine Dive - San Antonio,+12104449547,$$,3.5,681,"['delivery', 'pickup']",340 e basse rd,-98.47849,29.49649,"['Wine Bars', 'American (New)', 'Breakfast & Brunch']","['340', 'e', 'basse', 'rd']",340,e basse rd,MAX's Wine Dive - San Antonio,maxs wine dive  s antonio,e basse
24,(210) 558-6161,14422.525726116099,PsysXkAtN_X-jkmuSSt_kw,False,Perry's Steakhouse & Grille - La Cantera,+12105586161,$$$,4.0,465,['delivery'],15900 la cantera pkwy,-98.6110403886035,29.5932077735882,"['Steakhouses', 'Seafood', 'American (New)']","['15900', 'la', 'cantera', 'pkwy']",15900,la cantera pkwy,Perry's Steakhouse & Grille - La Cantera,perrys steakhouse  grille  l cantera,la cantera pkwy
25,(210) 354-4644,6556.269436574538,i8iLLTjW-_RzvXxlRVpsGg,False,Boiler House Texas Grill & Wine Garden,+12103544644,$$,3.5,720,"['delivery', 'pickup']",312 pearl pkwy,-98.480389,29.443453,"['American (New)', 'Breakfast & Brunch', 'Wine Bars']","['312', 'pearl', 'pkwy']",312,pearl pkwy,Boiler House Texas Grill & Wine Garden,boiler house texas grill  wine garden,pearl pkwy
26,(210) 354-3844,8406.487040615479,q4cLyDHBsJJKC4TF4nytDw,False,Yard House,+12103543844,$$,4.0,540,"['delivery', 'pickup']",849 e commerce st,-98.485064,29.423284,"['American (New)', 'Bars', 'Vegetarian']","['849', 'e', 'commerce', 'st']",849,e commerce st,Yard House,yard house,e commerce
27,(210) 973-6050,8861.22144709602,ymLDUAQv7WqSp0WacIlGpQ,False,Maverick Texas Brasserie,+12109736050,$$,4.0,326,['delivery'],710 s st mary's st,-98.490007,29.417631,"['Comfort Food', 'American (New)', 'Brasseries']","['710', 's', 'st', ""mary's"", 'st']",710,s st mary's st,Maverick Texas Brasserie,maverick texas brasserie,s mary's
28,(210) 590-0515,9520.183191400758,s5NDZKT4dI9_KS5LK9UhTA,False,Jamaica Jamaica Cuisine,+12105900515,$$,4.0,319,['delivery'],2026 austin hwy,-98.4164711460471,29.502487344186,"['Caribbean', 'Bars', 'American (New)']","['2026', 'austin', 'hwy']",2026,austin hwy,Jamaica Jamaica Cuisine,jamaic jamaic cuisine,austin hwy
29,(210) 236-5134,11735.850300540777,10lsN6Ciaf0b6z9Ha0-_Iw,False,Picnikins Patio Cafe,+12102365134,$$,4.5,197,['delivery'],5811 university heights blvd,-98.597038,29.5717050510903,"['American (New)', 'American (Traditional)']","['5811', 'university', 'heights', 'blvd']",5811,university heights blvd,Picnikins Patio Cafe,picnikins patio cafe,university heights
30,(210) 532-2551,9724.988886321617,T3oCtbanG90JrCnVS6eLbg,False,Bite,+12105322551,$$,4.0,220,"['delivery', 'restaurant_reservation']",1012 s presa st,-98.4868185165329,29.4103426122861,"['French', 'American (New)', 'Wine Bars']","['1012', 's', 'presa', 'st']",1012,s presa st,Bite,bite,s presa
31,(210) 223-3101,8897.561920585187,4XwckdO-Ep8hnUyBD4RYWw,False,Chart House,+12102233101,$$$,3.5,904,['delivery'],739 e césar e chávez blvd,-98.4844153,29.417013,"['Seafood', 'Steakhouses', 'American (New)']","['739', 'e', 'césar', 'e', 'chávez', 'blvd']",739,e césar e chávez blvd,Chart House,chart house,e césar chávez
32,(210) 824-0275,3119.1998521160494,0oh-tWbIP7Suh4vYQEMbIw,False,J. Alexander's Restaurant,+12108240275,$$,4.0,320,['delivery'],255 east basse rd,-98.4821761714426,29.4945472623267,"['American (New)', 'Seafood', 'Steakhouses']","['255', 'east', 'basse', 'rd']",255,east basse rd,J. Alexander's Restaurant,j. alexanders restaurant,east basse
33,(210) 802-1860,7629.17602552272,3nzrromr2ZfRwCjG4MSdCw,False,Pharm Table,+12108021860,$$,4.0,182,['delivery'],106 auditorium cir,-98.488109,29.42976,"['American (New)', 'Vegetarian', 'Cafes']","['106', 'auditorium', 'cir']",106,auditorium cir,Pharm Table,pharm table,auditorium cir
34,(210) 396-5817,8098.00689412776,G1TA_O4ImM47WJhVCrGBWg,False,Ostra,+12103965817,$$$,3.5,389,['delivery'],212 w crockett st,-98.49056,29.42465,"['American (New)', 'Seafood', 'Breakfast & Brunch']","['212', 'w', 'crockett', 'st']",212,w crockett st,Ostra,ostra,w crockett
35,(210) 352-3171,7862.022476607248,NAOHfkb9C6c834DH5Xu3kA,False,Rebelle,+12103523171,$$$,4.0,249,['delivery'],300 e travis st,-98.48957,29.42729,"['Seafood', 'American (New)', 'Steakhouses']","['300', 'e', 'travis', 'st']",300,e travis st,Rebelle,rebelle,e travis
36,(210) 556-8624,9322.274880656645,xSrHK8MdVm0IihVNfHM9vA,False,Benjies Munch,+12105568624,$$,4.5,116,['delivery'],1218 w bitters rd,-98.51214,29.5782,"['Food Trucks', 'Sandwiches', 'American (New)']","['1218', 'w', 'bitters', 'rd']",1218,w bitters rd,Benjies Munch,benjies munch,w bitters
37,(210) 354-3001,7717.221638210823,jeJU6D_Dan4hUT6Zvsqy9Q,False,Burleson Yard Beer Garden,+12103543001,$,4.0,156,[],430 austin st,-98.4783956408501,29.4325205189164,"['American (New)', 'Beer Gardens', 'Cocktail Bars']","['430', 'austin', 'st']",430,austin st,Burleson Yard Beer Garden,burles yard beer garden,austin
38,(210) 691-0033,14371.198829217921,X5y2lCbuF0THwrM5C83OKw,False,Yard House,+12106910033,$$,3.5,489,"['delivery', 'pickup']",15900 la cantera pkwy,-98.610752,29.592815,"['American (New)', 'Bars', 'Vegetarian']","['15900', 'la', 'cantera', 'pkwy']",15900,la cantera pkwy,Yard House,yard house,la cantera pkwy
39,(210) 224-1976,8453.839373493045,BE13CTKdTAatznUAmVDuBg,False,Fig Tree Restaurant,+12102241976,$$$,4.0,183,['delivery'],515 villita st,-98.488253,29.421901,"['American (New)', 'French']","['515', 'villita', 'st']",515,villita st,Fig Tree Restaurant,fig tree restaurant,villita
40,(210) 202-2694,13553.12599461676,thoppZoZ0yzdlz-8RexoFg,False,Topgolf,+12102022694,$$,3.5,366,[],5539 n loop 1604 w,-98.594985,29.594147,"['American (New)', 'Golf', 'Sports Bars']","['5539', 'n', 'loop', '1604', 'w']",5539,n loop 1604 w,Topgolf,topgolf,n loop 1604
