display_phone,distance,id,is_closed,name,phone,price,rating,review_count,transactions,address,longitude,latitude,categories
(210) 342-0011,4587.160656223971,9LCY2F98AV45IZA0Y4rXoQ,False,Azro,+12103420011,$$,4.5,217,[],2211 NW Military Hwy,-98.523454,29.534933,"['Afghan', 'Mediterranean', 'Halal']"
,17253.000401688427,9gY5_pRJhqkzMokhQM3fcQ,False,Laziz,,,5.0,1,[],Tinker Ave,-98.628273,29.3737793,"['Afghan', 'Food Stands', 'Greek']"
(210) 467-5102,6291.6985494178725,xoKRn7pXo6OZdDFrqma73g,False,African Village,+12104675102,,4.5,54,[],10918 Wurzbach Rd,-98.551459,29.540934,"['Ethiopian', 'African', 'Eritrean']"
(210) 474-6058,13820.55262400596,N2g3bqbQ_tXmwEr5XLOkXw,False,Kobams African Restaurant,+12104746058,$$,4.0,78,['pickup'],8753 Grissom Rd,-98.6563036353495,29.4805957233545,"['Caribbean', 'African', 'Seafood']"
(210) 224-8484,8220.553657627619,A-2-cH0dGVDY7tEs_0BTEA,False,Boudro's On the River Walk,+12102248484,$$$,4.0,2361,['delivery'],421 E Commerce St,-98.48839,29.42412,"['American (New)', 'Seafood']"
(210) 496-0828,8134.573517423651,_S3cq-DYrsSIpv3EI45ErA,False,The Magnolia Pancake Haus,+12104960828,$$,4.0,1889,[],606 Embassy Oaks,-98.488924,29.564154,"['Breakfast & Brunch', 'American (New)']"
(210) 314-3929,6722.3943580179575,CPpcFOhRHZwRxU6LbeJNrQ,False,Cured,+12103143929,$$,4.5,1016,['delivery'],306 Pearl Pkwy,-98.479888,29.44198,"['Cocktail Bars', 'American (New)']"
(210) 224-2900,8231.78293115204,IXF7ceaOgU5juDkMdQ2N6g,False,Zinc Bistro & Wine Bar,+12102242900,$$,4.0,1474,['delivery'],207 N Presa St,-98.48927,29.42365,"['Wine Bars', 'American (New)', 'Burgers']"
(210) 265-3763,4486.283457974526,NKyKURyCgz5zSIRQJjCgNQ,False,Sangria On the Burg,+12102653763,$$,4.5,974,"['restaurant_reservation', 'delivery']",5115 Fredericksburg Rd,-98.5597405,29.50168533,"['American (New)', 'Barbeque', 'Tacos']"
(210) 496-0828,8494.1163754653,ZlFxG9cdW4DkkygtwkkRPg,False,The Magnolia Pancake Haus,+12104960828,$$,4.0,1678,['delivery'],10333 Huebner Rd,-98.58484,29.54005,"['Breakfast & Brunch', 'American (New)']"
(210) 225-2547,9623.06633485972,pRp4lpOqcvDTWkCY1ShQDg,False,Bliss,+12102252547,$$$,4.5,553,['delivery'],926 S Presa St,-98.48703,29.41118,['American (New)']
(210) 236-8095,14449.813884542675,lHQUmNEMXFiHUfBWPZ7Odw,False,Whiskey Cake,+12102368095,$$,4.0,1379,[],15900 La Cantera Pkwy,-98.611468,29.593213,"['American (New)', 'Breakfast & Brunch']"
(210) 455-5701,6631.310328751167,mlrX_eT46F_WjEcNNDqg-g,False,Southerleigh Fine Food and Brewery,+12104555701,$$,4.0,1079,[],136 E Grayson St,-98.480661821962,29.4425389496087,"['Breweries', 'American (New)', 'Bars']"
(210) 225-0722,8137.157164160428,n1QMj77k8tWEeqSe8cnRTA,False,Biga On The Banks,+12102250722,$$$,4.5,726,['delivery'],203 S Saint Marys St,-98.492,29.42369,"['American (New)', 'Venues & Event Spaces', 'Desserts']"
(210) 320-0819,5492.3288132338575,y0G19V0kCxK3XDE4PuEjKw,False,Tycoon Flats,+12103200819,$$,4.0,797,['delivery'],2926 N Saint Marys St,-98.48491,29.45228,"['Burgers', 'American (New)']"
(210) 616-0954,2758.8237756116373,jpkIekRcJwkheofnq4tyvw,False,Picnikins Patio Cafe,+12106160954,$$,4.5,405,['delivery'],6901 Blanco Rd,-98.50789,29.51892,"['American (New)', 'American (Traditional)']"
(210) 828-9669,5501.003111445088,eglk84L_IwvD4KwPk0Rq3w,False,Cappy's Restaurant,+12108289669,$$,4.5,438,[],5011 Broadway St,-98.4633888,29.4726367,"['American (New)', 'Breakfast & Brunch', 'Bars']"
(210) 277-7047,9571.434425232646,oLdog5Vfrxo_E99A_zMypQ,False,Stella Public House,+12102777047,$$,4.0,665,"['delivery', 'pickup']",1414 S Alamo St,-98.495517,29.409946,"['Pizza', 'American (New)', 'Tapas/Small Plates']"
(210) 518-1063,8056.5565219330065,DCpLIlaGzsC8mG2077eANw,False,Las Canarias,+12105181063,$$,4.0,478,['delivery'],112 College St,-98.4899110856117,29.4251935550079,"['American (New)', 'Breakfast & Brunch', 'Buffets']"
(210) 277-8612,9516.873013977325,_8CAyUIaJkgUqHtZATy-lQ,False,The Bread Box,+12102778612,$$,4.5,289,"['delivery', 'pickup']",555 W Bitters Rd,-98.499714738381,29.5790660823088,"['Bakeries', 'Sandwiches', 'American (New)']"
(210) 448-8351,6583.825696088776,JS3gCbLH6Gkz_6lJR6AMQA,False,Supper,+12104488351,$$,4.0,445,['delivery'],132 E Grayson St,-98.4810031048935,29.4428615387664,"['American (New)', 'Breakfast & Brunch']"
(210) 248-9244,6611.926629847822,oVASyewXkfUUXb2k2nOaKw,False,Down on Grayson,+12102489244,$$,4.0,681,[],303 E Grayson St,-98.4782447700663,29.4439930070745,"['American (New)', 'Beer Bar', 'Wine Bars']"
(210) 300-4728,4563.272003575844,uw5b_6gdZ6hYsCz75lwBXg,False,Outlaw Kitchens,+12103004728,$$,5.0,115,[],2919 N Flores St,-98.5029868,29.4546217,"['American (New)', 'Cafes']"
(210) 444-9547,3477.473761457342,npasNPLckc0XHKnScB4wmQ,False,MAX's Wine Dive - San Antonio,+12104449547,$$,3.5,680,"['delivery', 'pickup']",340 E Basse Rd,-98.47849,29.49649,"['Wine Bars', 'American (New)', 'Breakfast & Brunch']"
(210) 558-6161,14422.525726116099,PsysXkAtN_X-jkmuSSt_kw,False,Perry's Steakhouse & Grille - La Cantera,+12105586161,$$$,4.0,464,['delivery'],15900 La Cantera Pkwy,-98.6110403886035,29.5932077735882,"['Steakhouses', 'Seafood', 'American (New)']"
(210) 354-4644,6556.269436574538,i8iLLTjW-_RzvXxlRVpsGg,False,Boiler House Texas Grill & Wine Garden,+12103544644,$$,3.5,719,"['delivery', 'pickup']",312 Pearl Pkwy,-98.480389,29.443453,"['American (New)', 'Breakfast & Brunch', 'Wine Bars']"
(210) 354-3844,8406.487040615479,q4cLyDHBsJJKC4TF4nytDw,False,Yard House,+12103543844,$$,4.0,539,"['delivery', 'pickup']",849 E Commerce St,-98.485064,29.423284,"['American (New)', 'Bars', 'Vegetarian']"
(210) 590-0515,9520.183191400758,s5NDZKT4dI9_KS5LK9UhTA,False,Jamaica Jamaica Cuisine,+12105900515,$$,4.0,319,['delivery'],2026 Austin Hwy,-98.4164711460471,29.502487344186,"['Caribbean', 'Bars', 'American (New)']"
(210) 973-6050,8861.22144709602,ymLDUAQv7WqSp0WacIlGpQ,False,Maverick Texas Brasserie,+12109736050,$$,4.0,326,['delivery'],710 S St Mary's St,-98.490007,29.417631,"['Comfort Food', 'American (New)', 'Brasseries']"
(210) 236-5134,11735.850300540777,10lsN6Ciaf0b6z9Ha0-_Iw,False,Picnikins Patio Cafe,+12102365134,$$,4.5,197,['delivery'],5811 University Heights Blvd,-98.597038,29.5717050510903,"['American (New)', 'American (Traditional)']"
(210) 532-2551,9724.988886321617,T3oCtbanG90JrCnVS6eLbg,False,Bite,+12105322551,$$,4.0,220,"['restaurant_reservation', 'delivery']",1012 S Presa St,-98.4868185165329,29.4103426122861,"['French', 'American (New)', 'Wine Bars']"
(210) 223-3101,8897.561920585187,4XwckdO-Ep8hnUyBD4RYWw,False,Chart House,+12102233101,$$$,3.5,904,['delivery'],739 E César E Chávez Blvd,-98.4844153,29.417013,"['Seafood', 'Steakhouses', 'American (New)']"
(210) 824-0275,3119.1998521160494,0oh-tWbIP7Suh4vYQEMbIw,False,J. Alexander's Restaurant,+12108240275,$$,4.0,320,[],255 East Basse Rd,-98.4821761714426,29.4945472623267,"['American (New)', 'Seafood', 'Steakhouses']"
