,DISTRICT,ESTABLISHMENT ADDRESS,ESTABLISHMENT NAME,INSPECTION DATE,LINK,SECTOR,TOTAL SCORE
0,C,"107 9TH ST San Antonio, TX 782150",BOURBON STREET SEAFOOD KITCHEN,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412884&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,19,91
1,A,"3703 COLONY DR San Antonio, TX 78230",BURMESE FOODS,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412844&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,7,97
2,D,"2524 MAIN AV N San Antonio, TX 782123451",CAPPARELLIS ON MAIN,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412836&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,35,97
3,C,"600 SANTA ROSA S San Antonio, TX 782040",COURTYARD BY MARRIOTT,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412799&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,27,93
4,C,"902 HOUSTON ST E San Antonio, TX 782020",DAYS INN/DOWNTOWNER,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412829&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,22,85
5,D,"6859 HWY 90 W San Antonio, TX 782270",DENNY'S RESTAURANT #1297 #,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412830&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,33,95
6,A,"11848 BANDERA RD San Antonio, TX 780230",DOMINOS PIZZA #6761,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412897&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,2,94
7,C,"849 COMMERCE ST E San Antonio, TX 782053910",DRAGON BREATH,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412889&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,22,97
8,D,"3831 COMMERCE ST W San Antonio, TX 782073612",EL 7 MARES,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412843&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,28,73
9,D,"766 OLD HWY 90 W San Antonio, TX 782372308",EL PUESTO MEXICAN RESTAURANT,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412849&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,29,98
10,C,"620 SANTA ROSA S San Antonio, TX 782070",FAIRFIELD INN BY MARRIOT,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412789&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,27,95
11,D,"603 ZARZAMORA ST N San Antonio, TX 782072512",FREDS FISH FRY #2,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412895&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,34,88
12,C,"849 COMMERCE ST E San Antonio, TX 782053910",GHIRARDELLI,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412886&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,22,90
13,B,"571 ELEANOR AV SAN ANTONIO, TX 78209",GOLDEN FOOD MART,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412791&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,18,98
14,D,"847 GEN MCMULLEN S San Antonio, TX 782370",J ANTHONYS,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412824&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,28,85
15,D,"118 GEN MCMULLEN N San Antonio, TX 782370",JACK IN THE BOX #829,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412821&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,34,98
16,D,"2100 CULEBRA RD San Antonio, TX 782280",JACK IN THE BOX #913,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412798&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,34,97
17,A,"11842 BANDERA RD San Antonio, TX 780230",LENNYS SUB SHOP,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412894&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,2,86
18,B,"5580 WALZEM RD San Antonio, TX 782182103",LITTLE CAESARS #4,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412864&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,17,92
19,D,"6801 NEW HWY 90 W San Antonio, TX 782270",LITTLE SAMS #4,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412893&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,33,86
20,A,"3727 COLONY DR San Antonio, TX 782302205",MANPASAND SUPERMARKET#7,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412887&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,7,95
21,C,"849 COMMERCE ST E San Antonio, TX 782053910",MOCHI MOCHI ICE CREAM,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412880&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,22,93
22,C,"1015 PLEASANTON RD San Antonio, TX 782141944",NADINE'S MEXICAN RESTAURANT #2,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412806&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,26,93
23,A,"8940 WURZBACH RD San Antonio, TX 782400",NOOR GROCERY,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412898&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,7,96
24,D,"1005 OLD HWY 90 W San Antonio, TX 782372437",PANCHO'S MEXICAN RESTAURANT,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412845&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,29,94
25,C,"2221 MILITARY DR SW San Antonio, TX 782240",PANDA EXPRESS #,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412825&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,26,97
