,display_phone,distance,id,is_closed,name,phone,price,rating,review_count,transactions,address,longitude,latitude,categories
0,(210) 342-0011,4587.160656223971,9LCY2F98AV45IZA0Y4rXoQ,False,Azro,+12103420011,$$,4.5,217,[],2211 nw military hwy,-98.523454,29.534933,"['Afghan', 'Mediterranean', 'Halal']"
1,,17253.000401688427,9gY5_pRJhqkzMokhQM3fcQ,False,Laziz,,,5.0,1,[],tinker ave,-98.628273,29.3737793,"['Afghan', 'Food Stands', 'Greek']"
2,(210) 467-5102,6291.6985494178725,xoKRn7pXo6OZdDFrqma73g,False,African Village,+12104675102,,4.5,54,[],10918 wurzbach rd,-98.551459,29.540934,"['Ethiopian', 'African', 'Eritrean']"
3,(210) 474-6058,13820.55262400596,N2g3bqbQ_tXmwEr5XLOkXw,False,Kobams African Restaurant,+12104746058,$$,4.0,78,['pickup'],8753 grissom rd,-98.6563036353495,29.4805957233545,"['Caribbean', 'African', 'Seafood']"
4,(210) 224-8484,8220.553657627619,A-2-cH0dGVDY7tEs_0BTEA,False,Boudro's On the River Walk,+12102248484,$$$,4.0,2361,['delivery'],421 e commerce st,-98.48839,29.42412,"['American (New)', 'Seafood']"
5,(210) 496-0828,8134.573517423651,_S3cq-DYrsSIpv3EI45ErA,False,The Magnolia Pancake Haus,+12104960828,$$,4.0,1889,[],606 embassy oaks,-98.488924,29.564154,"['Breakfast & Brunch', 'American (New)']"
6,(210) 314-3929,6722.3943580179575,CPpcFOhRHZwRxU6LbeJNrQ,False,Cured,+12103143929,$$,4.5,1016,['delivery'],306 pearl pkwy,-98.479888,29.44198,"['Cocktail Bars', 'American (New)']"
7,(210) 224-2900,8231.78293115204,IXF7ceaOgU5juDkMdQ2N6g,False,Zinc Bistro & Wine Bar,+12102242900,$$,4.0,1474,['delivery'],207 n presa st,-98.48927,29.42365,"['Wine Bars', 'American (New)', 'Burgers']"
8,(210) 265-3763,4486.283457974526,NKyKURyCgz5zSIRQJjCgNQ,False,Sangria On the Burg,+12102653763,$$,4.5,974,"['restaurant_reservation', 'delivery']",5115 fredericksburg rd,-98.5597405,29.50168533,"['American (New)', 'Barbeque', 'Tacos']"
9,(210) 496-0828,8494.1163754653,ZlFxG9cdW4DkkygtwkkRPg,False,The Magnolia Pancake Haus,+12104960828,$$,4.0,1678,['delivery'],10333 huebner rd,-98.58484,29.54005,"['Breakfast & Brunch', 'American (New)']"
10,(210) 225-2547,9623.06633485972,pRp4lpOqcvDTWkCY1ShQDg,False,Bliss,+12102252547,$$$,4.5,553,['delivery'],926 s presa st,-98.48703,29.41118,['American (New)']
11,(210) 236-8095,14449.813884542675,lHQUmNEMXFiHUfBWPZ7Odw,False,Whiskey Cake,+12102368095,$$,4.0,1379,[],15900 la cantera pkwy,-98.611468,29.593213,"['American (New)', 'Breakfast & Brunch']"
12,(210) 455-5701,6631.310328751167,mlrX_eT46F_WjEcNNDqg-g,False,Southerleigh Fine Food and Brewery,+12104555701,$$,4.0,1079,[],136 e grayson st,-98.480661821962,29.4425389496087,"['Breweries', 'American (New)', 'Bars']"
13,(210) 225-0722,8137.157164160428,n1QMj77k8tWEeqSe8cnRTA,False,Biga On The Banks,+12102250722,$$$,4.5,726,['delivery'],203 s saint marys st,-98.492,29.42369,"['American (New)', 'Venues & Event Spaces', 'Desserts']"
14,(210) 320-0819,5492.3288132338575,y0G19V0kCxK3XDE4PuEjKw,False,Tycoon Flats,+12103200819,$$,4.0,797,['delivery'],2926 n saint marys st,-98.48491,29.45228,"['Burgers', 'American (New)']"
15,(210) 616-0954,2758.8237756116373,jpkIekRcJwkheofnq4tyvw,False,Picnikins Patio Cafe,+12106160954,$$,4.5,405,['delivery'],6901 blanco rd,-98.50789,29.51892,"['American (New)', 'American (Traditional)']"
16,(210) 828-9669,5501.003111445088,eglk84L_IwvD4KwPk0Rq3w,False,Cappy's Restaurant,+12108289669,$$,4.5,438,[],5011 broadway st,-98.4633888,29.4726367,"['American (New)', 'Breakfast & Brunch', 'Bars']"
17,(210) 277-7047,9571.434425232646,oLdog5Vfrxo_E99A_zMypQ,False,Stella Public House,+12102777047,$$,4.0,665,"['delivery', 'pickup']",1414 s alamo st,-98.495517,29.409946,"['Pizza', 'American (New)', 'Tapas/Small Plates']"
18,(210) 518-1063,8056.5565219330065,DCpLIlaGzsC8mG2077eANw,False,Las Canarias,+12105181063,$$,4.0,478,['delivery'],112 college st,-98.4899110856117,29.4251935550079,"['American (New)', 'Breakfast & Brunch', 'Buffets']"
