,establishment,inspection_date,sector,district,total_score,link,zip_code,address_and_zip,address,separated_address,house_numbers,trimmed_name,split_address,clean_address
0,bourbon street seafood kitchen,2019-01-02,19,C,91,Link,78215,"107 9th st san antonio, tx 782150",107 9th st ,"['107', '9th', 'st']",107,bourb street seafood kitchen,9th st,9th
1,burmese foods,2019-01-02,7,A,97,Link,78230,"3703 colony dr san antonio, tx 78230",3703 colony dr ,"['3703', 'colony', 'dr']",3703,burmese foods,colony dr,colony
2,capparellis main,2019-01-02,35,D,97,Link,78212,"2524 main av n san antonio, tx 782123451",2524 main av n ,"['2524', 'main', 'av', 'n']",2524,capparellis main,main av n,main
3,courtyard marriott,2019-01-02,27,C,93,Link,78204,"600 santa rosa s san antonio, tx 782040",600 santa rosa s ,"['600', 'santa', 'rosa', 's']",600,courtyard marriott,santa rosa s,santa rosa
4,days inn/downtowner,2019-01-02,22,C,85,Link,78202,"902 houston st e san antonio, tx 782020",902 houston st e ,"['902', 'houston', 'st', 'e']",902,days inn/downtowner,houston st e,houston
5,denny's restaurant #1297 #,2019-01-02,33,D,95,Link,78227,"6859 hwy 90 w san antonio, tx 782270",6859 hwy 90 w ,"['6859', 'hwy', '90', 'w']",6859,denny's restaurant #1297 #,hwy 90 w,hwy 90
6,dominos pizza #6761,2019-01-02,2,A,94,Link,78023,"11848 bandera rd san antonio, tx 780230",11848 bandera rd ,"['11848', 'bandera', 'rd']",11848,dominos pizz #6761,bandera rd,bandera
7,dragon breath,2019-01-02,22,C,97,Link,78205,"849 commerce st e san antonio, tx 782053910",849 commerce st e ,"['849', 'commerce', 'st', 'e']",849,drag breath,commerce st e,commerce
8,el 7 mares,2019-01-02,28,D,73,Link,78207,"3831 commerce st w san antonio, tx 782073612",3831 commerce st w ,"['3831', 'commerce', 'st', 'w']",3831, 7 mares,commerce st w,commerce
9,el puesto mexican restaurant,2019-01-02,29,D,98,Link,78237,"766 old hwy 90 w san antonio, tx 782372308",766 old hwy 90 w ,"['766', 'old', 'hwy', '90', 'w']",766, puesto mexic restaurant,old hwy 90 w,old hwy 90
10,fairfield inn marriot,2019-01-02,27,C,95,Link,78207,"620 santa rosa s san antonio, tx 782070",620 santa rosa s ,"['620', 'santa', 'rosa', 's']",620,fairfield inn marriot,santa rosa s,santa rosa
11,freds fish fry #2,2019-01-02,34,D,88,Link,78207,"603 zarzamora st n san antonio, tx 782072512",603 zarzamora st n ,"['603', 'zarzamora', 'st', 'n']",603,freds fish fry #2,zarzamora st n,zarzamora
12,ghirardelli,2019-01-02,22,C,90,Link,78205,"849 commerce st e san antonio, tx 782053910",849 commerce st e ,"['849', 'commerce', 'st', 'e']",849,ghirardelli,commerce st e,commerce
13,golden food mart,2019-01-02,18,B,98,Link,78209,"571 eleanor av san antonio, tx 78209",571 eleanor av ,"['571', 'eleanor', 'av']",571,golden food mart,eleanor av,eleanor
14,j anthonys,2019-01-02,28,D,85,Link,78237,"847 gen mcmullen s san antonio, tx 782370",847 gen mcmullen s ,"['847', 'gen', 'mcmullen', 's']",847,j anthonys,gen mcmullen s,gen mcmullen
15,jack box #829,2019-01-02,34,D,98,Link,78237,"118 gen mcmullen n san antonio, tx 782370",118 gen mcmullen n ,"['118', 'gen', 'mcmullen', 'n']",118,jack box #829,gen mcmullen n,gen mcmullen
16,jack box #913,2019-01-02,34,D,97,Link,78228,"2100 culebra rd san antonio, tx 782280",2100 culebra rd ,"['2100', 'culebra', 'rd']",2100,jack box #913,culebra rd,culebra
17,lennys sub shop,2019-01-02,2,A,86,Link,78023,"11842 bandera rd san antonio, tx 780230",11842 bandera rd ,"['11842', 'bandera', 'rd']",11842,lennys sub shop,bandera rd,bandera
18,little caesars #4,2019-01-02,17,B,92,Link,78218,"5580 walzem rd san antonio, tx 782182103",5580 walzem rd ,"['5580', 'walzem', 'rd']",5580,little caesars #4,walzem rd,walzem
19,little sams #4,2019-01-02,33,D,86,Link,78227,"6801 new hwy 90 w san antonio, tx 782270",6801 new hwy 90 w ,"['6801', 'new', 'hwy', '90', 'w']",6801,little sams #4,new hwy 90 w,new hwy 90
20,manpasand supermarket#7,2019-01-02,7,A,95,Link,78230,"3727 colony dr san antonio, tx 782302205",3727 colony dr ,"['3727', 'colony', 'dr']",3727,manpasand supermarket#7,colony dr,colony
21,mochi mochi ice cream,2019-01-02,22,C,93,Link,78205,"849 commerce st e san antonio, tx 782053910",849 commerce st e ,"['849', 'commerce', 'st', 'e']",849,mochi mochi ice cream,commerce st e,commerce
22,nadine's mexican restaurant #2,2019-01-02,26,C,93,Link,78214,"1015 pleasanton rd san antonio, tx 782141944",1015 pleasanton rd ,"['1015', 'pleasanton', 'rd']",1015,nadine's mexic restaurant #2,pleasanton rd,pleasanton
23,noor grocery,2019-01-02,7,A,96,Link,78240,"8940 wurzbach rd san antonio, tx 782400",8940 wurzbach rd ,"['8940', 'wurzbach', 'rd']",8940,noor grocery,wurzbach rd,wurzbach
24,pancho's mexican restaurant,2019-01-02,29,D,94,Link,78237,"1005 old hwy 90 w san antonio, tx 782372437",1005 old hwy 90 w ,"['1005', 'old', 'hwy', '90', 'w']",1005,pancho's mexic restaurant,old hwy 90 w,old hwy 90
25,panda express #,2019-01-02,26,C,97,Link,78224,"2221 military dr sw san antonio, tx 782240",2221 military dr sw ,"['2221', 'military', 'dr', 'sw']",2221,pand express #,military dr sw,militaryw
26,peter piper pizza #,2019-01-02,34,D,96,Link,78237,"4811 commerce st w san antonio, tx 782371505",4811 commerce st w ,"['4811', 'commerce', 'st', 'w']",4811,peter piper pizz #,commerce st w,commerce
27,pharm table,2019-01-02,19,C,100,Link,78205,"411 martin st e san antonio, tx 782051318",411 martin st e ,"['411', 'martin', 'st', 'e']",411,pharm table,martin st e,martin
28,pik nik foods,2019-01-02,27,C,93,Link,78210,"1110 presa st s san antonio, tx 782101347",1110 presa st s ,"['1110', 'presa', 'st', 's']",1110,pik nik foods,presa st s,presa
29,residence inn marriott,2019-01-02,27,C,93,Link,78207,"628 santa rosa s san antonio, tx 782070",628 santa rosa s ,"['628', 'santa', 'rosa', 's']",628,residence inn marriott,santa rosa s,santa rosa
30,sa catering company,2019-01-02,5,A,97,Link,78251,"3600 wiseman bv san antonio, tx 782510",3600 wiseman bv ,"['3600', 'wiseman', 'bv']",3600,s catering company,wiseman bv,wiseman
31,subway # 49146,2019-01-02,27,C,100,Link,78205,"111 soledad st san antonio, tx 782050",111 soledad st ,"['111', 'soledad', 'st']",111,subway # 49146,soledad st,soledad
32,taco cabana #264,2019-01-02,2,A,100,Link,78254,"11707 w fm 1604 n san antonio, tx 782540",11707 w fm 1604 n ,"['11707', 'w', 'fm', '1604', 'n']",11707,taco caban #264,w fm 1604 n,w fm 1604
33,the dominion country club,2019-01-02,4,A,94,Link,78257,"1 dominion dr san antonio, tx 782571247",1 dominion dr ,"['1', 'dominion', 'dr']",1, domini country club,dominion dr,dominion
34,the inn downtown/museum reach,2019-01-02,19,C,94,Link,78215,"1614 st marys n san antonio, tx 782151414",1614 st marys n ,"['1614', 'st', 'marys', 'n']",1614, inn downtown/museum reach,st marys n,st marys
35,tokyo mart,2019-01-02,18,B,100,Link,78212,"825 hildebrand w san antonio, tx 782122127",825 hildebrand w ,"['825', 'hildebrand', 'w']",825,tokyo mart,hildebrand w,hildebrand
36,torchy's tacos,2019-01-02,4,A,94,Link,78257,"17627 la cantera pkw san antonio, tx 78257",17627 la cantera pkw ,"['17627', 'la', 'cantera', 'pkw']",17627,torchy's tacos,la cantera pkw,la cantera pkw
37,valero corner store #1011 #,2019-01-02,35,D,96,Link,78212,"333 san pedro av san antonio, tx 782125552",333 san pedro av ,"['333', 'san', 'pedro', 'av']",333,valero corner store #1011 #,san pedro av,san pedro
38,wendys # 11759,2019-01-02,2,A,98,Link,78250,"11652 bandera rd san antonio, tx 78250",11652 bandera rd ,"['11652', 'bandera', 'rd']",11652,wendys # 11759,bandera rd,bandera
39,wingstop restaurant #23,2019-01-02,17,B,97,Link,78218,"5410 walzem rd san antonio, tx 782182125",5410 walzem rd ,"['5410', 'walzem', 'rd']",5410,wingstop restaurant #23,walzem rd,walzem
40,wyndham garden riverwalk,2019-01-02,19,C,97,Link,78215,"103 9th st san antonio, tx 782151525",103 9th st ,"['103', '9th', 'st']",103,wyndham garden riverwalk,9th st,9th
41,20-twenty food and fuel,2019-01-03,34,D,98,Link,78201,"1822 zarzamora st n san antonio, tx 782016145",1822 zarzamora st n ,"['1822', 'zarzamora', 'st', 'n']",1822,20-twenty food and fuel,zarzamora st n,zarzamora
42,a gala event & catering,2019-01-03,34,D,99,Link,78228,"1512 bandera rd san antonio, tx 782284005",1512 bandera rd ,"['1512', 'bandera', 'rd']",1512, gal event & catering,bandera rd,bandera
43,april chinese restaurant,2019-01-03,27,C,86,Link,78207,"2030 alamo st s san antonio, tx 782073201",2030 alamo st s ,"['2030', 'alamo', 'st', 's']",2030,april chinese restaurant,alamo st s,alamo
44,arden park assisted living,2019-01-03,3,A,100,Link,78249,"7023 hausman rd w san antonio, tx 782490",7023 hausman rd w ,"['7023', 'hausman', 'rd', 'w']",7023,arden park assisted living,hausman rd w,hausman
45,best western,2019-01-03,27,C,95,Link,78204,"1002 laredo st s san antonio, tx 78204",1002 laredo st s ,"['1002', 'laredo', 'st', 's']",1002,best western,laredo st s,laredo
46,boba tea garden,2019-01-03,5,A,97,Link,78251,"8333 culebra rd san antonio, tx 782511602",8333 culebra rd ,"['8333', 'culebra', 'rd']",8333,bob te garden,culebra rd,culebra
47,comfort inn & suites,2019-01-03,3,A,100,Link,78249,"5622 utex bv san antonio, tx 782490",5622 utex bv ,"['5622', 'utex', 'bv']",5622,comfort inn & suites,utex bv,utex
48,culebra meat market #1,2019-01-03,34,D,81,Link,78228,"2800 culebra rd san antonio, tx 782286218",2800 culebra rd ,"['2800', 'culebra', 'rd']",2800,culebr meat market #1,culebra rd,culebra
49,cvs pharmacy #7187,2019-01-03,15,B,100,Link,78247,"17307 bulverde rd san antonio, tx 782470",17307 bulverde rd ,"['17307', 'bulverde', 'rd']",17307,cvs pharmacy #7187,bulverde rd,bulverde
50,easy street lounge,2019-01-03,14,B,99,Link,78247,"15033 nacogdoches rd san antonio, tx 782471220",15033 nacogdoches rd ,"['15033', 'nacogdoches', 'rd']",15033,easy street lounge,nacogdoches rd,nacogdoches
51,el comedor regio,2019-01-03,18,B,91,Link,78212,"4310 blanco rd san antonio, tx 782121108",4310 blanco rd ,"['4310', 'blanco', 'rd']",4310, comedor regio,blanco rd,blanco
52,el pollo loco #3778,2019-01-03,34,D,92,Link,78237,"4645 commerce st w san antonio, tx 782371631",4645 commerce st w ,"['4645', 'commerce', 'st', 'w']",4645, pollo loco #3778,commerce st w,commerce
53,el pollo loco #3798,2019-01-03,2,A,91,Link,78249,"9259 n 1604 w san antonio, tx 782490",9259 n 1604 w ,"['9259', 'n', '1604', 'w']",9259, pollo loco #3798,n 1604 w,n 1604
54,eurest dining services,2019-01-03,5,A,100,Link,78251,"9855 westover hills san antonio, tx 782510",9855 westover hills ,"['9855', 'westover', 'hills']",9855,eurest dining services,westover hills,westover hills
55,family dollar store #3145 #,2019-01-03,33,D,98,Link,78227,"7436 military dr w san antonio, tx 782272949",7436 military dr w ,"['7436', 'military', 'dr', 'w']",7436,family dollar store #3145 #,military dr w,military
56,famous cajun grill-south park,2019-01-03,36,D,95,Link,78224,"2310 military dr sw san antonio, tx 782241407",2310 military dr sw ,"['2310', 'military', 'dr', 'sw']",2310,famous cajun grill-south park,military dr sw,militaryw
57,fratello's italian market & deli,2019-01-03,19,C,95,Link,78215,"2503 broadway san antonio, tx 782151037",2503 broadway ,"['2503', 'broadway']",2503,fratello's itali market & deli,broadway,broadway
58,gloria's latin cuisine,2019-01-03,4,A,90,Link,78257,"17623 la cantera pkw san antonio, tx 782570",17623 la cantera pkw ,"['17623', 'la', 'cantera', 'pkw']",17623,gloria's lat cuisine,la cantera pkw,la cantera pkw
59,h & h chevron,2019-01-03,17,B,100,Link,78218,"1710 austin hwy san antonio, tx 782181711",1710 austin hwy ,"['1710', 'austin', 'hwy']",1710,h & h chevron,austin hwy,austin hwy
60,hot joy,2019-01-03,27,C,86,Link,78204,"1014 alamo st s san antonio, tx 782040",1014 alamo st s ,"['1014', 'alamo', 'st', 's']",1014,hot joy,alamo st s,alamo
61,jc food mart #2,2019-01-03,33,D,100,Link,78227,"7428 military dr w san antonio, tx 782272949",7428 military dr w ,"['7428', 'military', 'dr', 'w']",7428,jc food mart #2,military dr w,military
62,kin thai-sushi,2019-01-03,4,A,92,Link,78256,"22211 ih 10 w san antonio, tx 782560",22211 ih 10 w ,"['22211', 'ih', '10', 'w']",22211,k thai-sushi,ih 10 w,ih 10
63,limelight,2019-01-03,19,C,99,Link,78212,"2718 st marys n san antonio, tx 782123742",2718 st marys n ,"['2718', 'st', 'marys', 'n']",2718,limelight,st marys n,st marys
64,longhorn steakhouse #5367,2019-01-03,36,D,97,Link,78224,"7833 ih 35 s san antonio, tx 782240",7833 ih 35 s ,"['7833', 'ih', '35', 's']",7833,longhorn steakhouse #5367,ih 35 s,ih 35
65,lose weight now,2019-01-03,33,D,98,Link,78227,"7422 military dr w san antonio, tx 782272949",7422 military dr w ,"['7422', 'military', 'dr', 'w']",7422,lose weight now,military dr w,military
66,m & i grocery store,2019-01-03,28,D,99,Link,78237,"5106 commerce st w san antonio, tx 782371554",5106 commerce st w ,"['5106', 'commerce', 'st', 'w']",5106,m & i grocery store,commerce st w,commerce
67,mad dogs san antonio #,2019-01-03,22,C,87,Link,78205,"123 losoya san antonio, tx 782052678",123 losoya ,"['123', 'losoya']",123,mad dogs s antonio #,losoya,losoya
68,madurai mes,2019-01-03,7,A,79,Link,78229,"5152 fredsbg rd san antonio, tx 782290",5152 fredsbg rd ,"['5152', 'fredsbg', 'rd']",5152,madurai mes,fredsbg rd,fredsbg
69,mama margies mexican cafe #,2019-01-03,2,A,94,Link,78254,"10927 culebra rd san antonio, tx 782540",10927 culebra rd ,"['10927', 'culebra', 'rd']",10927,mam margies mexic cafe #,culebra rd,culebra
70,marios bakery,2019-01-03,29,D,100,Link,78237,"2231 castroville rd san antonio, tx 782370",2231 castroville rd ,"['2231', 'castroville', 'rd']",2231,marios bakery,castroville rd,castroville
71,mcdonald's restaurant #1703 #,2019-01-03,26,C,96,Link,78224,"2135 military dr sw san antonio, tx 782241402",2135 military dr sw ,"['2135', 'military', 'dr', 'sw']",2135,mcdonald's restaurant #1703 #,military dr sw,militaryw
72,mcdonalds # 5984,2019-01-03,20,C,85,Link,78208,"2646 ih 35 n san antonio, tx 782080",2646 ih 35 n ,"['2646', 'ih', '35', 'n']",2646,mcdonalds # 5984,ih 35 n,ih 35
73,metro taco stop,2019-01-03,1,A,93,Link,78240,"10350 bandera rd san antonio, tx 782400",10350 bandera rd ,"['10350', 'bandera', 'rd']",10350,metro taco stop,bandera rd,bandera
74,nikis cafe mexican restaurant,2019-01-03,1,A,92,Link,78228,"6125 callaghan rd san antonio, tx 782281117",6125 callaghan rd ,"['6125', 'callaghan', 'rd']",6125,nikis cafe mexic restaurant,callaghan rd,callaghan
75,olive garden #1799,2019-01-03,36,D,99,Link,78224,"7811 ih 35 s san antonio, tx 782240",7811 ih 35 s ,"['7811', 'ih', '35', 's']",7811,olive garden #1799,ih 35 s,ih 35
76,omni mansion del rio,2019-01-03,22,C,90,Link,78205,"112 college st san antonio, tx 782051811",112 college st ,"['112', 'college', 'st']",112,omni mansi d rio,college st,college
77,panaderia promesa,2019-01-03,29,D,99,Link,78226,"1318 cupples rd san antonio, tx 782261222",1318 cupples rd ,"['1318', 'cupples', 'rd']",1318,panaderi promesa,cupples rd,cupples
78,papa johns pizza #3318 #,2019-01-03,2,A,100,Link,78023,"9123 n fm 1604 w san antonio, tx 780230",9123 n fm 1604 w ,"['9123', 'n', 'fm', '1604', 'w']",9123,pap johns pizz #3318 #,n fm 1604 w,n fm 1604
79,papa murphy's pizza,2019-01-03,2,A,100,Link,78249,"11600 bandera rd san antonio, tx 782490",11600 bandera rd ,"['11600', 'bandera', 'rd']",11600,pap murphy's pizza,bandera rd,bandera
80,pepper patch lounge,2019-01-03,33,D,93,Link,78227,"2402 pinn rd san antonio, tx 782273638",2402 pinn rd ,"['2402', 'pinn', 'rd']",2402,pepper patch lounge,pinn rd,pinn
81,periphery restaurant,2019-01-03,35,D,94,Link,78212,"2512 main av n san antonio, tx 782123451",2512 main av n ,"['2512', 'main', 'av', 'n']",2512,periphery restaurant,main av n,main
82,pik nik foods,2019-01-03,28,D,93,Link,78207,"907 commerce st w san antonio, tx 782074445",907 commerce st w ,"['907', 'commerce', 'st', 'w']",907,pik nik foods,commerce st w,commerce
83,raising canes #232,2019-01-03,18,B,100,Link,78209,"1418 austin hwy san antonio, tx 78209",1418 austin hwy ,"['1418', 'austin', 'hwy']",1418,raising canes #232,austin hwy,austin hwy
84,rays drive inn,2019-01-03,28,D,96,Link,78207,"822 19th st sw san antonio, tx 782075103",822 19th st sw ,"['822', '19th', 'st', 'sw']",822,rays drive inn,19th st sw,19thw
85,sangria burg,2019-01-03,7,A,85,Link,78229,"5115 fredsbg rd san antonio, tx 782290",5115 fredsbg rd ,"['5115', 'fredsbg', 'rd']",5115,sangri burg,fredsbg rd,fredsbg
86,singhs at st mary's,2019-01-03,19,C,96,Link,78212,"2803 st marys n san antonio, tx 782120",2803 st marys n ,"['2803', 'st', 'marys', 'n']",2803,singhs at st mary's,st marys n,st marys
87,southside bbq,2019-01-03,26,C,100,Link,78214,"6020 flores st s san antonio, tx 782142154",6020 flores st s ,"['6020', 'flores', 'st', 's']",6020,southsi bbq,flores st s,flores
88,subway #59200,2019-01-03,26,C,98,Link,78214,"1115 military dr se san antonio, tx 782142801",1115 military dr se ,"['1115', 'military', 'dr', 'se']",1115,subway #59200,military dr se,militarye
89,subway sandwich shop #,2019-01-03,2,A,92,Link,78254,"11309 bandera rd san antonio, tx 782540",11309 bandera rd ,"['11309', 'bandera', 'rd']",11309,subway sandwich shop #,bandera rd,bandera
90,taco taco cafe,2019-01-03,18,B,88,Link,78212,"145 hildebrand e san antonio, tx 782122358",145 hildebrand e ,"['145', 'hildebrand', 'e']",145,taco taco cafe,hildebrand e,hildebrand
91,taqueria perla tapatia,2019-01-03,17,B,90,Link,78218,"5102 rittiman rd san antonio, tx 782184639",5102 rittiman rd ,"['5102', 'rittiman', 'rd']",5102,taqueri perl tapatia,rittiman rd,rittiman
92,tink -a- tako #12,2019-01-03,5,A,93,Link,78251,"7507 potranco rd san antonio, tx 782510",7507 potranco rd ,"['7507', 'potranco', 'rd']",7507,tink -a- tako #12,potranco rd,potranco
93,tycoon flats,2019-01-03,19,C,98,Link,78212,"2926 st marys n san antonio, tx 782123531",2926 st marys n ,"['2926', 'st', 'marys', 'n']",2926,tyco flats,st marys n,st marys
94,vfw post #8541,2019-01-03,17,B,100,Link,78218,"2222 austin hwy san antonio, tx 782181836",2222 austin hwy ,"['2222', 'austin', 'hwy']",2222,vfw post #8541,austin hwy,austin hwy
95,wendys # 9613,2019-01-03,18,B,97,Link,78209,"1410 austin hwy san antonio, tx 782090",1410 austin hwy ,"['1410', 'austin', 'hwy']",1410,wendys # 9613,austin hwy,austin hwy
