,inspection_date,inspector,number_of_violations,violations,zip_code,house_numbers,categories,transactions,distance,review_count,longitude,latitude,name,sector,district,total_score,rating,price,establishment_x,establishment_y,address_x,address_y,trimmed_name_x,trimmed_name_y,clean_address_x,clean_address_y,address_distance,name_distance
0,2019-01-02,Cicily Martinez,3,"['22', '29', '45']",78212,2524,"['Italian', 'Desserts', 'Seafood']",[],4950.353661799144,99.0,-98.49378,29.45373,Capparelli's On Main,35,D,97,3.5,$$,capparellis on main,Capparelli's On Main,2524 main av n ,2524 n main ave,capparellis  main,capparellis  main,main,n maine,3,0
1,2019-03-06,RYAN DAVIS,1,['31'],78230,14439,"['French', 'Asian Fusion', 'Tapas/Small Plates']",[],9312.955170251551,102.0,-98.54454,29.57333,Frederick's Bistro,9,A,98,4.0,$$$,fredrick's bistro,Frederick's Bistro,14439 military hy nw ,14439 nw military hwy,fredrick's bistro,fredericks bistro,military hwy,nw military hwy,3,2
2,2019-07-10,Jacob Johanson,1,['19'],78212,825,['International Grocery'],[],3151.827871884683,20.0,-98.5072402954102,29.466688156127898,Tokyo Mart,18,B,97,4.5,$,tokyo mart,Tokyo Mart,825 hildebrand w ,825 w hildebrand ave,tokyo mart,tokyo mart,hildebrand,w hildebrande,3,0
3,2019-11-04,Cicily Martinez,3,"['10', '15', '40']",78201,914,['Mexican'],['delivery'],3194.340356800299,42.0,-98.50861877202992,29.466155818682104,Fina's Kitchen,35,D,93,4.0,$,finas kitchen,Fina's Kitchen,914 hildebrand w ,914 w hildebrand ave,finas kitchen,finas kitchen,hildebrand,w hildebrande,3,0
4,2019-03-14,RYAN DAVIS,0,[],78230,13151,['Barbeque'],['delivery'],7935.733616339659,41.0,-98.53795,29.56285,Bill Miller Bar-B-Q,9,A,100,2.5,$,bill miller bbq #29,Bill Miller Bar-B-Q,13151 nw military hy ,13151 nw military hwy,bill miller bbq #29,bill miller barbq,military hwy,nw military hwy,3,6
5,2019-03-14,RYAN DAVIS,1,['21'],78230,10003,['American (Traditional)'],['delivery'],6996.407916178756,434.0,-98.5363480230089,29.5543913840854,Green Vegetarian Cuisine,9,A,98,4.5,$$,green vegetarian cuisine,Green Vegetarian Cuisine,10003 nw military hy ,10003 nw military hwy,green vegetari cuisine,green vegetari cuisine,military hwy,nw military hwy,3,0
6,2019-03-14,RYAN DAVIS,1,['18'],78230,10003,['Vietnamese'],['delivery'],6937.261516633066,70.0,-98.5340507,29.554893800000002,Pho VN Bistro,9,A,97,3.5,$,vn bistro,Pho VN Bistro,10003 nw military hy ,10003 nw military hwy,vn bistro,pho vn bistro,military hwy,nw military hwy,3,4
7,2019-07-05,Cicily Martinez,3,"['1', '39', '45']",78201,919,"['Tex-Mex', 'Breakfast & Brunch']","['pickup', 'delivery']",3138.557809320233,145.0,-98.50863220000001,29.466663399999995,Rolando's Super Tacos No 1,35,D,95,3.5,$,rolandos super tacos,Rolando's Super Tacos No 1,919 hildebrand w ,919 w hildebrand ave,rolandos super tacos,rolandos super tacos no 1,hildebrand,w hildebrande,3,5
8,2019-07-05,Cicily Martinez,3,"['1', '39', '45']",78201,919,"['Tex-Mex', 'Breakfast & Brunch']","['delivery', 'pickup']",3138.557809320233,145.0,-98.50863220000001,29.466663399999995,Rolando's Super Tacos No 1,35,D,95,3.5,$,rolandos super tacos,Rolando's Super Tacos No 1,919 hildebrand w ,919 w hildebrand ave,rolandos super tacos,rolandos super tacos no 1,hildebrand,w hildebrande,3,5
9,2019-07-05,RYAN DAVIS,0,[],78230,10003,['American (Traditional)'],['delivery'],6996.407916178756,434.0,-98.5363480230089,29.5543913840854,Green Vegetarian Cuisine,9,A,100,4.5,$$,green vegetarian cuisine,Green Vegetarian Cuisine,10003 nw military hy ,10003 nw military hwy,green vegetari cuisine,green vegetari cuisine,military hwy,nw military hwy,3,0
