,Inspector,Violations,Address
0,Sumner Bumgardner,"['10', '14', '21', '28', '29', '36']",107  9TH ST
1,Jeffrey Carrizales,['7'],3703  COLONY DR
2,Cicily Martinez,"['22', '29', '45']",2524  MAIN AV N
3,Kassandra Aguilar,"['2', '18', '21', '28', '39', '42']",600  SANTA ROSA S
4,Lauren Schumacher,"['10', '28', '29', '29', '30', '31', '33', '35', '40']",902  HOUSTON ST E
5,William Emminger,"['10', '42', '46']",6859  HWY 90 W
6,Sean Gilbert,"['19', '30', '31', '47']",11848  BANDERA RD
7,Lauren Schumacher,"['28', '40']",849  COMMERCE ST E
8,Mario Cavazos,"['2', '3', '9', '10', '20', '21', '24', '28', '29', '29', '32', '33', '33', '34', '40', '42', '45', '46', '47']",3831  COMMERCE ST W
9,Monica Caballero,"['30', '32']",766  OLD HWY 90 W      #1
10,Kassandra Aguilar,"['2', '21', '27', '30']",620  SANTA ROSA S
11,Debra Hernandez,"['2', '19', '30', '31', '32', '35', '37']",603  ZARZAMORA ST N
12,Lauren Schumacher,"['7', '10', '31', '37', '39', '39', '39']",849  COMMERCE ST E
13,Jacob Johanson,['31'],571  ELEANOR AV
14,Mario Cavazos,"['2', '3', '9', '24', '26', '28', '30', '33', '34', '41', '42', '45', '46', '47']",847  GEN MCMULLEN S
15,Debra Hernandez,"['2', '43', '45']",118  GEN MCMULLEN N
16,Debra Hernandez,"['2', '21', '30', '37']",2100  CULEBRA RD
17,Sean Gilbert,"['2', '18', '18', '21', '22', '24', '27', '30']",11842  BANDERA RD
18,Bernard Capdeboscq,"['18', '31', '31', '35', '35', '42', '45', '45']",5580  WALZEM RD
19,William Emminger,"['10', '24', '29', '33', '34', '39', '39', '42', '42', '45', '45', '46']",6801  NEW HWY 90 W
20,Jeffrey Carrizales,"['7', '21', '28', '38']",3727  COLONY DR
21,Lauren Schumacher,"['14', '23', '45', '47']",849  COMMERCE ST E
22,Rebecca Vera,"['21', '29', '32', '36']",1015  PLEASANTON RD
23,Jeffrey Carrizales,"['21', '25', '27', '27']",8940  WURZBACH RD
24,Monica Caballero,"['19', '30', '37', '42', '45']",1005  OLD HWY 90 W
25,Rebecca Vera,"['42', '43', '47']",2221  MILITARY DR SW
26,Debra Hernandez,"['2', '10', '30', '35']",4811  COMMERCE ST W
27,Sumner Bumgardner,"['18', '28', '30']",411  MARTIN ST E
28,Kassandra Aguilar,"['10', '21', '28', '28', '30', '32']",1110  PRESA ST S
29,Kassandra Aguilar,"['2', '9', '21', '22', '30', '33', '47']",628  SANTA ROSA S
30,Fermin Garza,"['30', '41']",3600  WISEMAN BV
31,Kassandra Aguilar,"['10', '21']",111  SOLEDAD ST        #105
32,Sean Gilbert,['30'],11707  W FM 1604 N
33,John Payelle,"['9', '37', '39', '39', '45']",1  DOMINION DR       #3
34,Sumner Bumgardner,"['31', '34', '43', '46', '47']",1614  ST MARYS N
35,Jacob Johanson,[],825  HILDEBRAND W
36,John Payelle,"['19', '21', '47']",17627  LA CANTERA PKW
37,Cicily Martinez,"['3', '9', '45']",333  SAN PEDRO AV
38,Sean Gilbert,"['21', '22', '30']",11652  BANDERA RD
39,Bernard Capdeboscq,"['38', '39', '45']",5410  WALZEM RD
40,Sumner Bumgardner,['18'],103  9TH ST
41,Debra Hernandez,['33'],1822  ZARZAMORA ST N
42,Debra Hernandez,"['2', '37']",1512  BANDERA RD
43,Lauren Schumacher,"['9', '18', '28', '31', '37', '37', '39', '39', '39', '45', '47']",2030  ALAMO ST S
44,Nathan Balfour,[],7023  HAUSMAN RD W
45,Bamba Njie,"['2', '3', '22', '29', '36']",1002  LAREDO ST S
46,Fermin Garza,"['30', '32', '45']",8333  CULEBRA RD        #203
47,Nathan Balfour,[],5622  UTEX BV
48,Debra Hernandez,"['7', '10', '19', '23', '27', '29', '31', '42', '45']",2800  CULEBRA RD
49,Daisy Zamora,['30'],17307  BULVERDE RD
50,Erica Llanas,"['30', '47']",15033  NACOGDOCHES RD
51,Jacob Johanson,"['14', '18', '21', '41']",4310  BLANCO RD         #2
52,Debra Hernandez,"['2', '19', '22', '31', '42', '42']",4645  COMMERCE ST W
53,Sean Gilbert,"['10', '22', '30', '32', '42', '47']",9259  N 1604 W
54,Fermin Garza,['30'],9855  WESTOVER HILLS
55,William Emminger,"['34', '34', '45', '45', '45']",7436  MILITARY DR W
56,Daniel Guzman,"['2', '3', '21', '31', '37']",2310  MILITARY DR SW    424
57,Sumner Bumgardner,"['10', '21', '29', '43']",2503  BROADWAY
58,John Payelle,"['9', '18', '19', '39']",17623  LA CANTERA PKW
59,Bernard Capdeboscq,[],1710  AUSTIN HWY
60,Bamba Njie,"['2', '3', '18', '19', '25', '29', '32', '34', '45']",1014  ALAMO ST S
61,William Emminger,[],7428  MILITARY DR W     #J
62,John Payelle,"['2', '18', '21']",22211  IH 10 W
