,display_phone,distance,id,is_closed,name,phone,price,rating,review_count,transactions,address,longitude,latitude,categories,seperated_address,house_numbers,split_address,establishment,trimmed_name,clean_address
0,(210) 342-0011,4587.160656223971,9LCY2F98AV45IZA0Y4rXoQ,False,Azro,12103420011.0,$$,4.5,217,[],2211 nw military hwy,-98.523454,29.534933000000002,"['Afghan', 'Mediterranean', 'Halal']","['2211', 'nw', 'military', 'hwy']",[,nw military hwy,Azro,Azro,nw military hwy
1,(210) 467-5102,6291.698549417873,xoKRn7pXo6OZdDFrqma73g,False,African Village,12104675102.0,,4.5,54,[],10918 wurzbach rd,-98.551459,29.540934000000004,"['Ethiopian', 'African', 'Eritrean']","['10918', 'wurzbach', 'rd']",[,wurzbach rd,African Village,Afric Village,wurzbach
2,(210) 474-6058,13820.552624005959,N2g3bqbQ_tXmwEr5XLOkXw,False,Kobams African Restaurant,12104746058.0,$$,4.0,78,['pickup'],8753 grissom rd,-98.6563036353495,29.4805957233545,"['Caribbean', 'African', 'Seafood']","['8753', 'grissom', 'rd']",[,grissom rd,Kobams African Restaurant,Kobams Afric Restaurant,grissom
3,(210) 224-8484,8220.553657627619,A-2-cH0dGVDY7tEs_0BTEA,False,Boudro's On the River Walk,12102248484.0,$$$,4.0,2361,['delivery'],421 e commerce st,-98.48839,29.424120000000002,"['American (New)', 'Seafood']","['421', 'e', 'commerce', 'st']",[,e commerce st,Boudro's On the River Walk,Boudro's On  River Walk,e commerce
4,(210) 496-0828,8134.5735174236515,_S3cq-DYrsSIpv3EI45ErA,False,The Magnolia Pancake Haus,12104960828.0,$$,4.0,1889,[],606 embassy oaks,-98.488924,29.564154,"['Breakfast & Brunch', 'American (New)']","['606', 'embassy', 'oaks']",[,embassy oaks,The Magnolia Pancake Haus,The Magnoli Pancake Haus,embassy oaks
5,(210) 314-3929,6722.3943580179575,CPpcFOhRHZwRxU6LbeJNrQ,False,Cured,12103143929.0,$$,4.5,1016,['delivery'],306 pearl pkwy,-98.479888,29.441979999999997,"['Cocktail Bars', 'American (New)']","['306', 'pearl', 'pkwy']",[,pearl pkwy,Cured,Cured,pearl pkwy
6,(210) 224-2900,8231.782931152042,IXF7ceaOgU5juDkMdQ2N6g,False,Zinc Bistro & Wine Bar,12102242900.0,$$,4.0,1474,['delivery'],207 n presa st,-98.48926999999999,29.42365,"['Wine Bars', 'American (New)', 'Burgers']","['207', 'n', 'presa', 'st']",[,n presa st,Zinc Bistro & Wine Bar,Zinc Bistro & Wine Bar,n presa
7,(210) 265-3763,4486.283457974526,NKyKURyCgz5zSIRQJjCgNQ,False,Sangria On the Burg,12102653763.0,$$,4.5,974,"['restaurant_reservation', 'delivery']",5115 fredericksburg rd,-98.5597405,29.50168533,"['American (New)', 'Barbeque', 'Tacos']","['5115', 'fredericksburg', 'rd']",[,fredericksburg rd,Sangria On the Burg,Sangri On  Burg,fredericksburg
8,(210) 496-0828,8494.1163754653,ZlFxG9cdW4DkkygtwkkRPg,False,The Magnolia Pancake Haus,12104960828.0,$$,4.0,1678,['delivery'],10333 huebner rd,-98.58484,29.54005,"['Breakfast & Brunch', 'American (New)']","['10333', 'huebner', 'rd']",[,huebner rd,The Magnolia Pancake Haus,The Magnoli Pancake Haus,huebner
9,(210) 225-2547,9623.06633485972,pRp4lpOqcvDTWkCY1ShQDg,False,Bliss,12102252547.0,$$$,4.5,553,['delivery'],926 s presa st,-98.48703,29.411179999999998,['American (New)'],"['926', 's', 'presa', 'st']",[,s presa st,Bliss,Bliss,s presa
