alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
azro-san-antonio,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}]","{'latitude': 29.534933, 'longitude': -98.523454}",(210) 342-0011,4587.160656223971,9LCY2F98AV45IZA0Y4rXoQ,https://s3-media1.fl.yelpcdn.com/bphoto/sDOppz6Ug26cnxigLbI5CQ/o.jpg,False,"{'address1': '2211 NW Military Hwy', 'address2': 'Ste 131', 'address3': '', 'city': 'San Antonio', 'zip_code': '78213', 'country': 'US', 'state': 'TX', 'display_address': ['2211 NW Military Hwy', 'Ste 131', 'San Antonio, TX 78213']}",Azro,+12103420011,$$,4.5,217,[],https://www.yelp.com/biz/azro-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
laziz-lackland-afb-2,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 29.3737793, 'longitude': -98.628273}",,17253.000401688427,9gY5_pRJhqkzMokhQM3fcQ,,False,"{'address1': 'Tinker Ave', 'address2': '', 'address3': '', 'city': 'Lackland AFB', 'zip_code': '78236', 'country': 'US', 'state': 'TX', 'display_address': ['Tinker Ave', 'Lackland AFB, TX 78236']}",Laziz,,,5.0,1,[],https://www.yelp.com/biz/laziz-lackland-afb-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
african-village-san-antonio-2,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'african', 'title': 'African'}, {'alias': 'eritrean', 'title': 'Eritrean'}]","{'latitude': 29.540934, 'longitude': -98.551459}",(210) 467-5102,6291.6985494178725,xoKRn7pXo6OZdDFrqma73g,https://s3-media1.fl.yelpcdn.com/bphoto/ZjlrxJCCHbyR71SLHeCrqw/o.jpg,False,"{'address1': '10918 Wurzbach Rd', 'address2': 'Ste 131', 'address3': '', 'city': 'San Antonio', 'zip_code': '78230', 'country': 'US', 'state': 'TX', 'display_address': ['10918 Wurzbach Rd', 'Ste 131', 'San Antonio, TX 78230']}",African Village,+12104675102,,4.5,54,[],https://www.yelp.com/biz/african-village-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
kobams-african-restaurant-san-antonio,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'african', 'title': 'African'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 29.4805957233545, 'longitude': -98.6563036353495}",(210) 474-6058,13820.55262400596,N2g3bqbQ_tXmwEr5XLOkXw,https://s3-media3.fl.yelpcdn.com/bphoto/BsPrTEMtOJv_johM0Djr1w/o.jpg,False,"{'address1': '8753 Grissom Rd', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78251', 'country': 'US', 'state': 'TX', 'display_address': ['8753 Grissom Rd', 'San Antonio, TX 78251']}",Kobams African Restaurant,+12104746058,$$,4.0,78,['pickup'],https://www.yelp.com/biz/kobams-african-restaurant-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
boudros-on-the-river-walk-san-antonio,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 29.42412, 'longitude': -98.48839}",(210) 224-8484,8220.553657627619,A-2-cH0dGVDY7tEs_0BTEA,https://s3-media2.fl.yelpcdn.com/bphoto/Gw6pKiflUdZQwvRqDx_9vg/o.jpg,False,"{'address1': '421 E Commerce St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['421 E Commerce St', 'San Antonio, TX 78205']}",Boudro's On the River Walk,+12102248484,$$$,4.0,2358,['delivery'],https://www.yelp.com/biz/boudros-on-the-river-walk-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
the-magnolia-pancake-haus-san-antonio,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 29.564154, 'longitude': -98.488924}",(210) 496-0828,8134.573517423651,_S3cq-DYrsSIpv3EI45ErA,https://s3-media1.fl.yelpcdn.com/bphoto/eD-DRmcHHdpR2FP3ac_L5A/o.jpg,False,"{'address1': '606 Embassy Oaks', 'address2': 'Ste 100', 'address3': '', 'city': 'San Antonio', 'zip_code': '78216', 'country': 'US', 'state': 'TX', 'display_address': ['606 Embassy Oaks', 'Ste 100', 'San Antonio, TX 78216']}",The Magnolia Pancake Haus,+12104960828,$$,4.0,1886,[],https://www.yelp.com/biz/the-magnolia-pancake-haus-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
cured-san-antonio-2,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 29.44198, 'longitude': -98.479888}",(210) 314-3929,6722.3943580179575,CPpcFOhRHZwRxU6LbeJNrQ,https://s3-media2.fl.yelpcdn.com/bphoto/8bNECkRcOQ8G31ysw-lfYg/o.jpg,False,"{'address1': '306 Pearl Pkwy', 'address2': 'Ste 101', 'address3': '', 'city': 'San Antonio', 'zip_code': '78215', 'country': 'US', 'state': 'TX', 'display_address': ['306 Pearl Pkwy', 'Ste 101', 'San Antonio, TX 78215']}",Cured,+12103143929,$$,4.5,1016,['delivery'],https://www.yelp.com/biz/cured-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
zinc-bistro-and-wine-bar-san-antonio,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 29.42365, 'longitude': -98.48927}",(210) 224-2900,8231.78293115204,IXF7ceaOgU5juDkMdQ2N6g,https://s3-media2.fl.yelpcdn.com/bphoto/ukLxB-PHib1y9nley2TRTw/o.jpg,False,"{'address1': '207 N Presa St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['207 N Presa St', 'San Antonio, TX 78205']}",Zinc Bistro & Wine Bar,+12102242900,$$,4.0,1474,['delivery'],https://www.yelp.com/biz/zinc-bistro-and-wine-bar-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
sangria-on-the-burg-san-antonio-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'latitude': 29.50168533, 'longitude': -98.5597405}",(210) 265-3763,4486.283457974526,NKyKURyCgz5zSIRQJjCgNQ,https://s3-media3.fl.yelpcdn.com/bphoto/Be7QYqz3KcA4cemMM-G5yQ/o.jpg,False,"{'address1': '5115 Fredericksburg Rd', 'address2': '', 'address3': None, 'city': 'San Antonio', 'zip_code': '78229', 'country': 'US', 'state': 'TX', 'display_address': ['5115 Fredericksburg Rd', 'San Antonio, TX 78229']}",Sangria On the Burg,+12102653763,$$,4.5,973,"['delivery', 'restaurant_reservation']",https://www.yelp.com/biz/sangria-on-the-burg-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
the-magnolia-pancake-haus-san-antonio-2,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 29.54005, 'longitude': -98.58484}",(210) 496-0828,8494.1163754653,ZlFxG9cdW4DkkygtwkkRPg,https://s3-media3.fl.yelpcdn.com/bphoto/q2NzK5Ur_vMjPsiPkF7x3Q/o.jpg,False,"{'address1': '10333 Huebner Rd', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78240', 'country': 'US', 'state': 'TX', 'display_address': ['10333 Huebner Rd', 'San Antonio, TX 78240']}",The Magnolia Pancake Haus,+12104960828,$$,4.0,1677,['delivery'],https://www.yelp.com/biz/the-magnolia-pancake-haus-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
